region_name,benefit_score,fixed_cost_score,distance_penalty,overlap_penalty,select_k_penalty
송파구,0.9082,0.796560443700367,0.45577628983361107,1.4834769364118483,2.0
강남구,0.8675,0.4949905957768471,0.20236336479523032,1.5538720069260672,2.0
강서구,0.6725,0.8727381279202442,0.3059566241506525,1.5435820448191029,2.0
서초구,0.5887,0.7276312261534275,0.579219568941896,1.5558714015333495,2.0
마포구,0.5858,0.18475961309888458,0.1767727829392317,1.206205232550961,2.0
관악구,0.5828,0.9780601164730803,0.8566142840923755,1.2525887470132588,2.0
영등포구,0.5465,0.7850257317913176,0.7585195298352101,1.2215027190373828,2.0
강동구,0.4692,0.8074578747492585,0.7194629559509368,0.9472924330403036,2.0
노원구,0.4153,0.2153022694079913,0.4320930397751037,1.0343400149185733,2.0
양천구,0.4046,0.5053473441060105,0.6273088407024432,1.5119005837165207,2.0
