region_name,product_category,order_count,baseline_order_volume,peak_order_volume,peak_order_ratio,risk_score,risk_level,business_action
강남구,도서/문구,1037,829.6,1244.3999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강남구,생활용품,3325,2660.0,3990.0,1.5,1.5,High,피크 대응 안전재고 확대
강남구,식품/신선,2700,2160.0,3240.0,1.5,1.5,High,피크 대응 안전재고 확대
강남구,전자/가전,1297,1037.6000000000001,1556.3999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강남구,패션/잡화,3135,2508.0,3762.0,1.5,1.5,High,피크 대응 안전재고 확대
강동구,도서/문구,597,477.6,716.4,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강동구,생활용품,1990,1592.0,2388.0,1.5,1.5,High,피크 대응 안전재고 확대
강동구,식품/신선,1607,1285.6000000000001,1928.3999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강동구,전자/가전,761,608.8000000000001,913.1999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강동구,패션/잡화,1860,1488.0,2232.0,1.5,1.5,High,피크 대응 안전재고 확대
강북구,도서/문구,233,186.4,279.59999999999997,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강북구,생활용품,902,721.6,1082.3999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강북구,식품/신선,724,579.2,868.8,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강북구,전자/가전,302,241.60000000000002,362.4,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강북구,패션/잡화,843,674.4000000000001,1011.5999999999999,1.4999999999999996,1.4999999999999996,High,피크 대응 안전재고 확대
강서구,도서/문구,848,678.4000000000001,1017.5999999999999,1.4999999999999996,1.4999999999999996,High,피크 대응 안전재고 확대
강서구,생활용품,2761,2208.8,3313.2,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강서구,식품/신선,2245,1796.0,2694.0,1.5,1.5,High,피크 대응 안전재고 확대
강서구,전자/가전,1067,853.6,1280.3999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
강서구,패션/잡화,2586,2068.8,3103.2,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
관악구,도서/문구,690,552.0,828.0,1.5,1.5,High,피크 대응 안전재고 확대
관악구,생활용품,2259,1807.2,2710.7999999999997,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
관악구,식품/신선,1841,1472.8000000000002,2209.2,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
관악구,전자/가전,855,684.0,1026.0,1.5,1.5,High,피크 대응 안전재고 확대
관악구,패션/잡화,2119,1695.2,2542.7999999999997,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
광진구,도서/문구,386,308.8,463.2,1.5,1.5,High,피크 대응 안전재고 확대
광진구,생활용품,1351,1080.8,1621.2,1.5,1.5,High,피크 대응 안전재고 확대
광진구,식품/신선,1112,889.6,1334.3999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
광진구,전자/가전,498,398.40000000000003,597.6,1.5,1.5,High,피크 대응 안전재고 확대
광진구,패션/잡화,1273,1018.4000000000001,1527.6,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
구로구,도서/문구,452,361.6,542.4,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
구로구,생활용품,1587,1269.6000000000001,1904.3999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
구로구,식품/신선,1294,1035.2,1552.8,1.5,1.5,High,피크 대응 안전재고 확대
구로구,전자/가전,591,472.8,709.1999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
구로구,패션/잡화,1486,1188.8,1783.2,1.5,1.5,High,피크 대응 안전재고 확대
금천구,도서/문구,212,169.60000000000002,254.39999999999998,1.4999999999999996,1.4999999999999996,High,피크 대응 안전재고 확대
금천구,생활용품,713,570.4,855.6,1.5,1.5,High,피크 대응 안전재고 확대
금천구,식품/신선,561,448.8,673.1999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
금천구,전자/가전,228,182.4,273.59999999999997,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
금천구,패션/잡화,659,527.2,790.8,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
노원구,도서/문구,586,468.8,703.1999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
노원구,생활용품,1957,1565.6000000000001,2348.4,1.5,1.5,High,피크 대응 안전재고 확대
노원구,식품/신선,1591,1272.8000000000002,1909.1999999999998,1.4999999999999996,1.4999999999999996,High,피크 대응 안전재고 확대
노원구,전자/가전,739,591.2,886.8,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
노원구,패션/잡화,1839,1471.2,2206.7999999999997,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
도봉구,도서/문구,238,190.4,285.59999999999997,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
도봉구,생활용품,933,746.4000000000001,1119.6,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
도봉구,식품/신선,745,596.0,894.0,1.5,1.5,High,피크 대응 안전재고 확대
도봉구,전자/가전,317,253.60000000000002,380.4,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
도봉구,패션/잡화,874,699.2,1048.8,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
동대문구,도서/문구,364,291.2,436.8,1.5,1.5,High,피크 대응 안전재고 확대
동대문구,생활용품,1297,1037.6000000000001,1556.3999999999999,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
동대문구,식품/신선,1054,843.2,1264.8,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
동대문구,전자/가전,470,376.0,564.0,1.5,1.5,High,피크 대응 안전재고 확대
동대문구,패션/잡화,1220,976.0,1464.0,1.5,1.5,High,피크 대응 안전재고 확대
동작구,도서/문구,448,358.40000000000003,537.6,1.5,1.5,High,피크 대응 안전재고 확대
동작구,생활용품,1560,1248.0,1872.0,1.5,1.5,High,피크 대응 안전재고 확대
동작구,식품/신선,1261,1008.8000000000001,1513.2,1.5,1.5,High,피크 대응 안전재고 확대
동작구,전자/가전,574,459.20000000000005,688.8,1.4999999999999998,1.4999999999999998,High,피크 대응 안전재고 확대
동작구,패션/잡화,1464,1171.2,1756.8,1.5,1.5,High,피크 대응 안전재고 확대
마포구,도서/문구,558,446.40000000000003,669.6,1.5,1.5,High,피크 대응 안전재고 확대
