warehouse_id,warehouse_name,region_name,product_category,expected_order_lines,expected_pick_units,avg_pick_pack_cycle_minutes,warehouse_capacity_units,warehouse_utilization,workload_risk_level,business_action
WH-01,서울MFC,강남구,생활용품,1,8.333333333333334,4.166666666666667,10000,0.0008333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.6333333333333333,0.8166666666666667,10000,0.00016333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.7666666666666666,0.8833333333333333,10000,0.00017666666666666666,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.9,0.95,10000,0.00018999999999999998,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.4333333333333333,0.7166666666666667,10000,0.00014333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,4.766666666666667,2.3833333333333333,10000,0.00047666666666666663,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.9333333333333333,0.9666666666666667,10000,0.00019333333333333333,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.8666666666666667,0.9333333333333333,10000,0.00018666666666666666,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.4333333333333333,0.7166666666666667,10000,0.00014333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,4.433333333333334,2.216666666666667,10000,0.00044333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.9333333333333333,0.9666666666666667,10000,0.00019333333333333333,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.0,1.0,10000,0.0002,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.1333333333333333,1.0666666666666667,10000,0.00021333333333333333,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.2666666666666666,1.1333333333333333,10000,0.00022666666666666666,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,5.6,2.8,10000,0.00056,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.6,0.8,10000,0.00016,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.5,0.75,10000,0.00015,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.4333333333333333,0.7166666666666667,10000,0.00014333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.9666666666666666,0.9833333333333333,10000,0.00019666666666666666,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,3.2,1.6,10000,0.00032,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,6.366666666666666,3.183333333333333,10000,0.0006366666666666667,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.8333333333333333,0.9166666666666666,10000,0.00018333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.033333333333333,1.0166666666666666,10000,0.00020333333333333333,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.1333333333333333,1.0666666666666667,10000,0.00021333333333333333,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.2333333333333334,1.1166666666666667,10000,0.00022333333333333333,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.2,0.6,10000,0.00011999999999999999,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.6,0.8,10000,0.00016,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.5333333333333334,0.7666666666666667,10000,0.00015333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.933333333333333,1.4666666666666666,10000,0.0002933333333333333,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.9,0.95,10000,0.00018999999999999998,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.8333333333333333,0.9166666666666666,10000,0.00018333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.2333333333333334,1.1166666666666667,10000,0.00022333333333333333,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.3666666666666667,0.6833333333333333,10000,0.00013666666666666666,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.7666666666666666,0.8833333333333333,10000,0.00017666666666666666,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.7,0.85,10000,0.00016999999999999999,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,3.1666666666666665,1.5833333333333333,10000,0.00031666666666666665,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.2,0.6,10000,0.00011999999999999999,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.0,1.0,10000,0.0002,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.5333333333333334,0.7666666666666667,10000,0.00015333333333333334,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.033333333333333,1.0166666666666666,10000,0.00020333333333333333,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.5666666666666667,0.7833333333333333,10000,0.00015666666666666666,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,2.2,1.1,10000,0.00022,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.8,0.9,10000,0.00018,Low,고부하 시간대 인력 재배치
WH-01,서울MFC,강남구,생활용품,1,1.5333333333333334,0.7666666666666667,10000,0.00015333333333333334,Low,고부하 시간대 인력 재배치
