date_key,observed,trend,seasonal,residual,arima_fitted
2025-01-01,20764,,804.3238095238084,-3511.3238095238084,
2025-01-02,26178,23471.0,-256.50952380952367,2963.5095238095237,
2025-01-03,27285,24742.333333333332,1246.4904761904763,1296.1761904761916,
2025-01-04,21491,23929.5,-5023.142857142855,2584.642857142855,
2025-01-05,20465,23236.6,-6369.27619047619,3597.6761904761916,
2025-01-06,31930,24685.5,5736.0904761904785,1508.4095238095215,
2025-01-07,30248,25480.14285714286,3862.023809523809,905.8333333333321,
2025-01-08,27925,25785.75,804.3238095238084,1334.9261904761916,
2025-01-09,26321,25845.222222222223,-256.50952380952367,732.287301587301,
2025-01-10,27945,26055.2,1246.4904761904763,643.309523809523,
2025-01-11,23245,25799.727272727272,-5023.142857142855,2468.415584415583,
2025-01-12,20918,25392.916666666668,-6369.27619047619,1894.3595238095222,
2025-01-13,32618,25948.69230769231,5736.0904761904785,933.217216117213,
2025-01-14,30797,26295.0,3862.023809523809,639.9761904761908,
2025-01-15,28092,26414.8,804.3238095238084,872.8761904761923,
2025-01-16,27002,26451.5,-256.50952380952367,807.0095238095237,
2025-01-17,27737,26527.117647058825,1246.4904761904763,-36.60812324930157,
2025-01-18,22113,26281.88888888889,-5023.142857142855,854.2539682539646,
2025-01-19,20985,26003.105263157893,-6369.27619047619,1351.170927318297,
2025-01-20,32927,26349.3,5736.0904761904785,841.6095238095222,
2025-01-21,32792,26656.095238095237,3862.023809523809,2273.880952380954,
2025-01-22,28337,26732.5,804.3238095238084,800.1761904761916,
2025-01-23,27097,26748.347826086956,-256.50952380952367,605.1616977225676,
2025-01-24,28138,26806.25,1246.4904761904763,85.25952380952367,
2025-01-25,21938,26611.52,-5023.142857142855,349.6228571428546,
2025-01-26,21084,26398.923076923078,-6369.27619047619,1054.353113553112,
2025-01-27,33191,26650.48148148148,5736.0904761904785,804.4280423280397,
2025-01-28,22352,26496.964285714286,3862.023809523809,-8006.988095238095,
2025-01-29,20625,26492.0,804.3238095238084,-6671.323809523808,
2025-01-30,19898,26267.714285714286,-256.50952380952367,-6113.204761904763,
2025-01-31,28182,26299.75,1246.4904761904763,635.7595238095237,
2025-02-01,23718,26379.285714285714,-5023.142857142855,2361.8571428571413,
2025-02-02,21421,26413.428571428572,-6369.27619047619,1376.8476190476176,
2025-02-03,33318,26463.0,5736.0904761904785,1118.9095238095215,
2025-02-04,31352,26502.428571428572,3862.023809523809,987.5476190476184,
2025-02-05,28654,26528.464285714286,804.3238095238084,1321.2119047619053,
2025-02-06,27596,26574.0,-256.50952380952367,1278.5095238095237,
2025-02-07,29229,26619.85714285714,1246.4904761904763,1362.6523809523824,
2025-02-08,22992,26610.821428571428,-5023.142857142855,1404.3214285714275,
